K = 8, D = 4, C = 4
config1 =

  scalar structure containing the fields:

    ndisc =  4
    ncont =  4
    nintr = 0


K = 8, Run (2,6,4): fitness => -9.55
K = 8, Run (2,6,5): fitness => -9.55

K = 8, Run (2,7,1): fitness => -9.55
K = 8, Run (2,7,2): fitness => -9.55
K = 8, Run (2,7,3): fitness => -9.55
K = 8, Run (2,7,4): fitness => -9.55
K = 8, Run (2,7,5): fitness => -9.55

K = 8, Run (2,8,1): fitness => -9.55
K = 8, Run (2,8,2): fitness => -9.55
K = 8, Run (2,8,3): fitness => -9.55
K = 8, Run (2,8,4): fitness => -9.55
K = 8, Run (2,8,5): fitness => -9.55

K = 8, Run (2,9,1): fitness => -9.55
K = 8, Run (2,9,2): fitness => -9.55
K = 8, Run (2,9,3): fitness => -9.55
K = 8, Run (2,9,4): fitness => -9.55
K = 8, Run (2,9,5): fitness => -9.55

K = 8, Run (2,10,1): fitness => -9.55
K = 8, Run (2,10,2): fitness => -9.55
K = 8, Run (2,10,3): fitness => -9.55
K = 8, Run (2,10,4): fitness => -9.55
K = 8, Run (2,10,5): fitness => -9.55

#-9.18

real	0m2.877s
user	0m2.761s
sys	0m0.069s
K = 8, D = 4, C = 4
config1 =

  scalar structure containing the fields:

    ndisc =  4
    ncont =  4
    nintr = 0


K = 8, Run (1,1,1): fitness => -9.70
K = 8, Run (1,1,2): fitness => -9.59
K = 8, Run (1,1,3): fitness => -9.48
K = 8, Run (1,1,4): fitness => -9.39
K = 8, Run (1,1,5): fitness => -9.31

K = 8, Run (1,2,1): fitness => -9.60
K = 8, Run (1,2,2): fitness => -9.50
K = 8, Run (1,2,3): fitness => -9.39
K = 8, Run (1,2,4): fitness => -9.31
K = 8, Run (1,2,5): fitness => -9.31

K = 8, Run (1,3,1): fitness => -9.45
K = 8, Run (1,3,2): fitness => -9.35
K = 8, Run (1,3,3): fitness => -9.31
K = 8, Run (1,3,4): fitness => -9.31
K = 8, Run (1,3,5): fitness => -9.31

K = 8, Run (1,4,1): fitness => -9.31
K = 8, Run (1,4,2): fitness => -9.31
K = 8, Run (1,4,3): fitness => -9.31
K = 8, Run (1,4,4): fitness => -9.31
K = 8, Run (1,4,5): fitness => -9.31

K = 8, Run (1,5,1): fitness => -9.31
K = 8, Run (1,5,2): fitness => -9.31
K = 8, Run (1,5,3): fitness => -9.31
K = 8, Run (1,5,4): fitness => -9.31
K = 8, Run (1,5,5): fitness => -9.31

K = 8, Run (1,6,1): fitness => -9.31
K = 8, Run (1,6,2): fitness => -9.31
K = 8, Run (1,6,3): fitness => -9.31
K = 8, Run (1,6,4): fitness => -9.31
K = 8, Run (1,6,5): fitness => -9.31

K = 8, Run (1,7,1): fitness => -9.31
K = 8, Run (1,7,2): fitness => -9.31
K = 8, Run (1,7,3): fitness => -9.31
K = 8, Run (1,7,4): fitness => -9.31
K = 8, Run (1,7,5): fitness => -9.31

K = 8, Run (1,8,1): fitness => -9.31
K = 8, Run (1,8,2): fitness => -9.31
K = 8, Run (1,8,3): fitness => -9.31
K = 8, Run (1,8,4): fitness => -9.31
K = 8, Run (1,8,5): fitness => -9.31

K = 8, Run (1,9,1): fitness => -9.31
K = 8, Run (1,9,2): fitness => -9.31
K = 8, Run (1,9,3): fitness => -9.31
K = 8, Run (1,9,4): fitness => -9.31
K = 8, Run (1,9,5): fitness => -9.31

K = 8, Run (1,10,1): fitness => -9.31
K = 8, Run (1,10,2): fitness => -9.31
K = 8, Run (1,10,3): fitness => -9.31
K = 8, Run (1,10,4): fitness => -9.31
K = 8, Run (1,10,5): fitness => -9.31

K = 8, Run (2,1,1): fitness => -9.22
K = 8, Run (2,1,2): fitness => -9.08
K = 8, Run (2,1,3): fitness => -8.92
K = 8, Run (2,1,4): fitness => -8.84
K = 8, Run (2,1,5): fitness => -8.77

K = 8, Run (2,2,1): fitness => -9.03
K = 8, Run (2,2,2): fitness => -8.94
K = 8, Run (2,2,3): fitness => -8.84
K = 8, Run (2,2,4): fitness => -8.77
K = 8, Run (2,2,5): fitness => -8.77

K = 8, Run (2,3,1): fitness => -8.90
K = 8, Run (2,3,2): fitness => -8.80
K = 8, Run (2,3,3): fitness => -8.77
K = 8, Run (2,3,4): fitness => -8.77
K = 8, Run (2,3,5): fitness => -8.77

K = 8, Run (2,4,1): fitness => -8.77
K = 8, Run (2,4,2): fitness => -8.77
K = 8, Run (2,4,3): fitness => -8.77
K = 8, Run (2,4,4): fitness => -8.77
K = 8, Run (2,4,5): fitness => -8.77

K = 8, Run (2,5,1): fitness => -8.77
K = 8, Run (2,5,2): fitness => -8.77
